D,N
0.9026, 156.4111
0.962, 144.2898
1.0119, 132.1354
1.0493, 121.8954
1.0961, 109.1985
1.1365, 97.8241
1.1771, 88.9292
1.1987, 77.3633
1.2235, 68.7986
1.2577, 60.2913
1.2919, 53.2248
1.3135, 46.6434
1.3352, 41.1764
1.3694, 36.3504
1.3909, 30.9346
1.4251, 27.51
1.4436, 23.7572
1.4716, 21.4393
1.5089, 18.9264
1.5243, 16.465
1.5553, 14.3235
1.5832, 12.2793
1.6048, 10.6822
1.6421, 9.4996
1.6637, 8.1438
1.7073, 7.3492
1.729, 6.3467
1.7569, 5.7275
1.7942, 4.91
1.8159, 4.3664
1.878, 3.378
1.9122, 2.9821
1.9431, 2.5565
1.9585, 2.2077
1.9989, 1.9205
2.0268, 1.6585
2.061, 1.4535
1.85, 3.8265
