D,N
1.3147, 347.8574
1.3868, 340.2884
1.4399, 323.2616
1.5056, 304.8431
1.5649, 283.2887
1.6181, 267.1478
1.6711, 237.5725
1.7022, 214.3928
1.7584, 199.2338
1.7989, 181.1181
1.8488, 159.8901
1.9019, 149.6784
1.9361, 131.17
1.9797, 119.2431
2.0297, 110.0022
2.1263, 86.9942
2.1231, 86.3586
2.0732, 96.3999
2.223, 71.8932
2.173, 78.5063
2.3134, 60.2913
2.2635, 65.8372
2.4038, 48.3853
2.3602, 54.0112
2.463, 42.0924
2.5067, 37.9855
2.5534, 34.2793
2.6033, 30.9346
2.647, 27.9163
2.7095, 26.1335
2.7625, 23.0705
2.7593, 22.7346
2.8591, 18.7882
2.8965, 16.8312
2.9401, 15.3008
2.9931, 13.9095
3.0368, 12.2793
3.1398, 10.2224
3.1772, 9.4302
3.2302, 8.5728
3.0931, 11.5796
2.7997, 20.2177
