x,y
-0.1449, 2.2094
0.1007, 2.2094
0.4346, 2.1885
0.6998, 2.1675
1.0043, 2.1257
1.2204, 2.0419
1.5051, 1.9162
1.7704, 1.7696
2.0258, 1.6335
2.232, 1.4974
2.4187, 1.3927
2.6347, 1.1728
2.8607, 0.9843
3.0571, 0.7852
3.2044, 0.5654
3.3418, 0.3141
3.45, -0.0105
3.5089, -0.2932
3.5482, -0.6492
3.499, -1.0052
3.3517, -1.288
3.1848, -1.4555
2.9489, -1.644
2.7231, -1.7696
2.4776, -1.9058
2.2222, -2.0
2.0061, -2.0209
1.7311, -2.0733
1.4266, -2.1257
1.0534, -2.1571
0.7096, -2.1675
0.3953, -2.1885
0.0319, -2.2094
-0.3118, -2.2094
-0.6065, -2.2094
-0.9503, -2.199
-1.2253, -2.178
-1.5298, -2.1257
-1.8637, -2.0733
-2.1289, -2.0524
-2.3646, -2.0209
-2.6593, -1.9372
-2.8852, -1.7906
-3.0718, -1.6335
-3.2879, -1.4974
-3.4451, -1.288
-3.5335, -1.0262
-3.5531, -0.7539
-3.5236, -0.4607
-3.4942, -0.1675
-3.4156, 0.1152
-3.2683, 0.4503
-3.0031, 0.7749
-2.8066, 0.9948
-2.62, 1.2042
-2.4039, 1.3927
-2.1486, 1.5812
-1.8932, 1.7382
-1.628, 1.8639
-1.3333, 2.0
-1.0289, 2.0942
-0.744, 2.1466
-0.4494, 2.1675
-0.1449, 2.2094
