t,Dp0,Dp1,Dp2,Dp3,Dp4,Dp5,Dp6,Dp7,Dp8,Dp9,Dp10
,197.5,230.0,300.0,412.5,525.0,715.0,1037.5,1375.0,1760.0,2287.5,2977.5
2019-11-24T00:30:00.0,403.3623609076599,137.8721427646779,16.100836924425252,2.7285439221378,1.7488164358645064,0.5778801379298769,0.22825431087657513,0.12248596608048311,0.0751991827042222,0.05359231758751983,0.034016412334528706
2019-11-24T01:00:00.0,512.8487851107567,173.7719668145811,20.23266494921091,3.2975703270434398,2.36894632726682,0.7220443224790406,0.3450877413738655,0.19024932876177877,0.09779300889625514,0.07818625863648146,0.04096322272301452
2019-11-24T01:30:00.0,601.1386193332984,203.76107359428178,24.38937642933174,4.029408300526227,2.909630940659225,0.8772406266890374,0.4333291556361318,0.2694509137426646,0.1063847438329358,0.08318706792479023,0.04411507538095105
2019-11-24T02:00:00.0,524.141073521707,185.38320956876422,22.34473915389882,3.6933642339482953,2.618339215525565,0.7752362021886923,0.3429043582644509,0.23214815532300573,0.10518819645257528,0.09278302464139707,0.05680927666600637
2019-11-24T02:30:00.0,364.3798034243483,153.83400094146438,19.627570762176127,3.495034527678126,2.217568101372998,0.5300869704478357,0.18441540601491832,0.12697731112048188,0.07794373345252292,0.08375199603422147,0.05686164846623513
2019-11-24T03:00:00.0,432.59974810491553,194.79769987230497,24.415845852319435,4.212507825121624,2.6032062889182526,0.5533729417354074,0.1596466051666049,0.0974739348162346,0.05998069428329843,0.07043797284416387,0.04975903231031562
2019-11-24T03:30:00.0,489.61713606129905,229.59602569965955,30.43360361699311,5.212468301010466,3.2321164630935666,0.6365188420430515,0.1496286402038906,0.09183424844300876,0.055614800333236,0.06853186269748739,0.04163913837562816
2019-11-24T04:00:00.0,445.4503152803212,205.0436569052973,28.134318487098074,5.129753217335671,3.3488907929093306,0.641057921475778,0.17128863829008464,0.09035822150163958,0.06855010847710723,0.07000079372977411,0.04879679427129453
2019-11-24T04:30:00.0,372.3290569935596,165.33894793340167,22.850908721250573,4.448582953562003,2.951854265630822,0.5911512501519814,0.14929325787714554,0.08332148650292304,0.07578861387884987,0.0743967687035966,0.058778220837756745
2019-11-24T05:00:00.0,257.89462853875625,107.61276918454634,14.813804225135478,3.1649808449859624,2.195936293271505,0.4727865549742199,0.14832852840954167,0.07489514720622147,0.06567830745029281,0.08121674470270161,0.05851926465190233
2019-11-24T05:30:00.0,184.95339749407154,71.41113154407684,9.444590882469376,2.1778472959902935,1.5017961704801317,0.3527285406826537,0.1182362955974544,0.07260164296915413,0.06447068653690846,0.07692206903241776,0.0574855274072456
2019-11-24T06:00:00.0,187.56956613762492,70.40011516292098,9.122721897950452,2.2418910194369195,1.5079999334202265,0.3576468694380996,0.12397050207387672,0.07168940579165592,0.06394420064325376,0.07407316836203862,0.05032972696942916
2019-11-24T06:30:00.0,165.2688687383913,59.34747192781473,7.749949966553925,2.0512636339175345,1.2650090574057304,0.2813685820755253,0.10052540662579597,0.059144036313758565,0.05437770633559902,0.06340827841324935,0.052697250727343645
2019-11-24T07:00:00.0,141.7015753777222,51.691143262845834,6.943061613639139,1.9436178285961663,1.0869597909991817,0.22890762325912348,0.09484845007026813,0.04858142237549726,0.05267978503333564,0.0591767695989827,0.0408709189864493
2019-11-24T07:30:00.0,132.82349610458937,49.57800795832504,6.579866690563611,1.9100027870029817,1.0204360120378575,0.2239876060331865,0.07010450159617154,0.04995724097580171,0.04431143404389313,0.056612049337766104,0.040067201785353314
2019-11-24T08:00:00.0,139.21573047382702,52.25429009414802,6.836212426016744,1.9362259501879042,1.0370617140180542,0.23123660465937912,0.08007881049988753,0.06337252738867398,0.05187748660731449,0.05515082184540773,0.04515849065287223
2019-11-24T08:30:00.0,110.48054335227806,42.400565586391835,5.4936880928564085,1.4705477907766324,0.9116445395809841,0.2237804350987789,0.08522073633375751,0.07325093023409782,0.0671543134318764,0.05445126113208334,0.04757208461635972
2019-11-24T09:00:00.0,82.71661404418717,33.54006411694023,4.3213854900903605,1.047804074536418,0.6654240954700854,0.1428704569999586,0.05322361827340671,0.0366530861734029,0.0398248653050478,0.04002668494757553,0.03582756500580011
2019-11-24T09:30:00.0,58.152762806173634,24.0541352514255,3.174424895727071,0.8790524860191379,0.5927174939466477,0.17201713874399843,0.07607830425471407,0.06147262835863518,0.049723082743876615,0.046557449916422154,0.02804769988719743
2019-11-24T10:00:00.0,40.86211089154638,17.123603966320918,2.4241184829195666,0.637227531558259,0.4667484043574814,0.11178384896751717,0.04472798548867738,0.03467926517954979,0.0233275752633908,0.02455570157401145,0.021689765002188045
2019-11-24T10:30:00.0,28.36132462236537,12.095340386278778,1.8669502380000995,0.5055567032851611,0.3531900013827138,0.10261827235863025,0.03306147625219427,0.022624547068625225,0.018057830163883473,0.017120396946395885,0.016071505192734998
2019-11-24T11:00:00.0,21.452904948435517,8.809978677576268,1.3713072742291559,0.3759566490486537,0.2850715943687195,0.07965529464983087,0.03278216033367618,0.022392087046965103,0.01221903374273412,0.011806251083892395,0.012372267734373459
2019-11-24T11:30:00.0,23.36932478459329,9.312229119151336,1.3329108037946877,0.3322809505774854,0.2660507038193133,0.08406249351124585,0.031272409641137505,0.026184780608303905,0.012307516008274478,0.011541858032431334,0.011329291295111038
2019-11-24T12:00:00.0,25.44697530718259,10.373993358620204,1.4312880907869843,0.3765344792998649,0.2921170298674618,0.07528607231598973,0.02715860292927603,0.01749283739731036,0.014662122888487651,0.013901450497043397,0.010898514616192264
