t,Dp1,Dp2,Dp3,Dp4,Dp5,Dp6,Dp7,Dp8,Dp9,Dp10,Dp11,Dp12,Dp13,Dp14,Dp15,Dp16,Dp17,Dp18,Dp19,Dp20,Dp21,Dp22,Dp23,Dp24,Dp25,Dp26,Dp27,Dp28,Dp29,Dp30,Dp31,Dp32,Dp33,Dp34,Dp35,Dp36,Dp37,Dp38,Dp39,Dp40,Dp41,Dp42,Dp43,Dp44,Dp45,Dp46,Dp47,Dp48,Dp49,Dp50,Dp51
,211.39545769669408,203.5831678606271,196.11848759691193,188.98257739113234,182.1577697728535,175.62749396233434,169.3762047528777,163.3893155246218,157.65313526440468,152.15480944946216,146.88226463990244,141.82415661577164,136.9698218886912,132.3092324150691,127.83295333735167,123.53210358127308,119.39831914020736,115.4237188821926,111.60087272067426,107.92277199624449,104.38280192341024,100.97471596352037,97.6926119922538,94.53091013740244,91.48433216995024,88.54788233859841,85.71682954482658,82.9866907622826,80.35321561072064,77.81237200083015,75.36033277211263,72.99346325145699,70.7083096652354,68.50158834260351,66.3701756522328,64.31109861895746,62.32152617077828,60.39876097035655,58.540231788560995,56.74348638081164,55.006184829917274,53.326093321838236,51.70107832333466,50.12910113280262,48.60821277776433,47.136549234475936,45.71232694696553,44.33383862451509,42.99944929817688,41.70759261836389,40.4567673768957
2019-11-24T00:30:00.0,474.58405663533927,528.0030238118593,539.1317697878126,568.7998374579084,487.38461902825406,495.20040355502465,482.331649921456,482.65023168608866,425.53973572582413,548.4908062159406,523.2373275619129,457.7393686848405,427.5594759541999,459.1394732329113,517.1987949810924,462.38774535616943,537.3820933651825,524.2741470474123,678.2424826444076,620.5347243838985,581.4405311889672,532.5980879058002,691.770852900321,747.4767372433486,867.491646025807,915.1603582237524,1002.5585454643979,977.1818336361945,1038.2882208508822,955.7521511670276,970.6817483869187,1081.6221644776515,1147.9861571907231,962.4228969336298,1063.980365390942,1123.4184210326694,1083.1701404065207,1175.9462541577357,1057.8239890427585,1090.9565120627594,1079.9662120726955,1145.5951360130493,1126.045061141529,984.9883273372259,968.9381594144954,1049.9023252746085,1133.7923170861663,1121.3147791554616,1115.158299322242,1243.1826366978094,1230.7840418759502
2019-11-24T01:00:00.0,589.310192708763,587.9087615388382,560.601377386113,532.6180425392108,469.7850216166592,604.7561050813234,521.6954932069305,522.3963207465429,412.0858835263165,470.3989161212371,445.8460906303229,446.309018101628,473.844275897629,383.7149308064909,446.275129533603,386.027803218532,429.01220443504883,497.3645357333704,444.64780925189507,456.81549469693823,503.15464170990197,536.1094520266413,660.2303585239401,729.2435801648037,789.7714796642153,794.3788945054528,838.8835874615816,898.6651572930937,850.6625057436668,916.8563362050888,934.4242109626815,939.2570582280861,942.8327579563811,872.4117062205446,937.8896165135609,1031.1077300987697,1036.6058845820742,924.9439636428265,943.9592996177576,935.425635826151,982.6625756123187,966.1479109388902,878.5736088083622,942.0711571066904,966.1752779474897,828.8290540607879,987.1121445816373,886.3912365595756,965.1030209436168,1075.7617292940142,1092.2946227035013
2019-11-24T01:30:00.0,279.39161890447485,287.6176248622155,357.6406348752939,326.4336005454558,309.06038113067257,281.7976558325686,341.312778789338,362.80658756768537,356.82944999622134,354.00240292236117,343.438739790742,327.80877625234837,356.17014736460993,328.5798040825763,378.0694161468524,374.0732419822597,383.85571386974857,362.4383819891572,478.3569054056343,492.9387273243012,603.8059428554902,704.5535932154875,726.742265231058,764.1973936002794,733.57906008338,774.3468657684464,895.1896541781869,898.8296083460309,869.4141150005962,871.9231655349402,955.3465204357344,999.4009462257536,1034.4318501909231,1066.1859934649262,1086.7580846609073,1116.0236383385327,1059.1001181806678,957.8839919922668,1037.0653485817752,973.365443087218,1075.292579948036,943.9904311071602,984.2917315030766,891.5176534891266,821.621626702065,892.7932861533983,650.8783911415659,860.9758323464387,788.1098676746592,938.8525188724532,874.0755988963706
2019-11-24T02:00:00.0,287.67506421788784,287.55038799961335,283.0047817930754,394.4475311876279,342.4146548715255,324.5932013584313,308.48046563036104,264.45272051995255,332.8759869009966,403.68721593130556,381.5779273670315,352.0818033625752,411.5994862451779,425.6146838037608,359.3126359220581,306.2453480102545,441.3741657574073,508.89903945025094,444.4926692920339,459.1231557470197,575.2701805861182,633.9653759441331,681.2489550021965,764.9732137527303,802.5949126100679,883.0562695461592,863.6970007935831,967.712274483919,1014.2747815496646,913.7598034609377,913.6052662320349,1022.7192504720696,958.3161610125469,882.6560057705485,1031.4875729709597,1013.3991924990371,850.1670700516754,847.2304775158653,826.7384546160745,747.4694725595048,787.7290218631842,903.0603657959152,797.5482709354694,734.6792437074452,647.3075530440734,657.1464057892038,585.6904919482774,642.9282052961927,631.3661206636295,728.028120570588,642.0556047357952
2019-11-24T02:30:00.0,287.0969855592035,284.91802267380103,282.8538195298573,313.2475090590533,374.4413901128094,432.22331952522177,342.06127737319537,383.7592394056991,376.1022958186231,375.5198633235766,420.54550345485586,335.32919626793716,342.19261571218607,296.0262408770983,370.66017392820197,379.60138171621867,401.2928177446803,354.0577499390099,413.70719664071765,456.41546095485927,543.3739736637028,594.3398611309489,604.7659223492434,603.3238583758645,798.1048975648705,826.5541092175916,951.1872977855996,838.7170741548024,792.2321593196932,861.3224886038183,860.5896062765314,870.5347061432371,924.6851724495662,900.9723996516989,914.3587664265106,944.1253055225122,936.840169142688,866.878112544873,757.4308417380297,661.7681248855519,834.4159009602481,805.1302801554357,700.5135187890452,635.7511112111014,538.0202374279129,538.4987057063809,713.3749876638319,616.072114402488,582.8245205014963,671.2427433201918,602.59866924748
2019-11-24T03:00:00.0,309.7136906053237,336.5232129951304,321.689697894159,300.1489464872741,310.95569236633014,399.4793687391142,385.3113731729903,357.1711972782563,294.6655931489489,331.22456299107375,337.4191518596513,345.469129203132,269.21562797080435,268.0035137881463,330.50378328187287,337.3214232666795,371.0695360283429,310.3575444301823,380.09200614629304,453.6066286552716,511.3681212104692,537.6090439619329,652.8262729527808,559.3889465694158,661.671113189328,722.2896691125923,795.1755732626724,833.948040470292,889.7054290496578,850.8059936148163,939.0458894200841,886.4392248900252,905.1357742301182,935.576667111689,824.4814558894034,662.9327860397652,783.0762296835348,716.204424556146,676.7027445252902,626.4415420285056,597.1440285397782,584.077585098416,635.6430577020867,591.2983132596248,572.9191332462344,578.1837364762328,442.9594596981392,443.39148540544704,430.16943528418483,478.4280869872691,526.375927101949
2019-11-24T03:30:00.0,345.90076791244667,314.36619328457857,342.32189397527424,392.352999493237,355.3007247791276,378.3009200467616,351.25952197663713,366.84152573476484,303.9815683822502,374.51010036408024,321.720181311797,345.3899266996618,340.8913489970191,284.01086058657717,265.6411380717451,353.5769344560447,414.2217631214629,492.6591693422367,378.34183405118677,450.9347905079354,531.3303479944498,620.6553186615295,614.9386678710779,759.1458186661458,812.3673438741996,719.9859596630004,827.9589213071224,986.5762087653682,967.6350855587618,815.9535095745682,778.0767330907544,862.6083998897793,921.3596638895624,942.1066580349303,967.2877419455762,770.6501042861587,672.3476545107449,545.4051661113756,565.2671454753541,613.7085051321945,481.045776141092,610.5551985565959,527.7734696807381,606.5333741965798,545.6631520424751,465.9340269151794,451.06117061886414,433.23655562957265,456.63791879106793,348.914716398476,473.13765377305623
2019-11-24T04:00:00.0,257.6849541651301,264.01713967234286,344.40211812152404,294.01486940780137,331.3754847912089,315.52994909268295,333.74370378894764,417.2134516336628,369.3718064063849,372.79893552850024,437.06976470384785,415.5056608111409,432.8559887519386,386.56766383085613,480.07047092752856,453.94286198709784,454.67963322688627,498.8734286720303,607.4947436698719,630.7920510372082,730.2989096472626,616.3243283809463,767.2885809081622,810.0218519060575,950.7997382741711,922.9479889977749,865.8359633208436,1045.292731859988,981.7874221924233,1101.0665736427197,1207.0839074551725,1191.5592158294007,1011.8264702549267,911.3495280474712,1014.3367547675716,958.5507385813304,937.510014444256,957.8577148549512,828.062738826008,834.8769964583378,643.7261434821377,676.0335498251081,670.0586251454413,490.8551053096552,537.3693779811745,504.5904732512586,426.67690640822195,515.9659772704499,429.30500174806724,462.397913665902,499.89907793749785
2019-11-24T04:30:00.0,242.76796378702488,297.9039130583569,353.52172007406807,332.5649421354336,355.6823173954032,357.1174936521774,311.3327187009922,418.08860286942746,356.83786474027374,375.90683705493336,392.48130947754635,379.7029475767032,339.96969887000944,439.7797974306618,399.0898161315771,489.1276556440565,550.0410647437523,589.1811158029132,576.1846823878719,707.4497810265337,670.2741923697035,765.0871355787563,802.854256911733,853.4588610829139,960.5286997886527,844.0108224050921,1062.4747492915453,1053.7758066278104,1174.413752958773,1060.516332099859,1017.4080182394333,1034.581753938809,1088.6283463029145,1134.667014430796,1120.3113829889844,1163.3352079848378,840.20782557353,934.7588662499099,845.2061056971406,679.5580292693178,786.070824179581,680.2004961622831,550.2904798964653,577.3533853529565,473.12638804819966,444.7825568545642,379.4793730223952,410.5092278589451,521.9879840974475,460.2413856274512,438.7030216354856
