t,Dp1,Dp2,Dp3,Dp4,Dp5,Dp6,Dp7,Dp8,Dp9,Dp10,Dp11,Dp12,Dp13,Dp14,Dp15,Dp16,Dp17,Dp18,Dp19,Dp20,Dp21,Dp22,Dp23,Dp24,Dp25,Dp26,Dp27,Dp28,Dp29,Dp30,Dp31,Dp32,Dp33,Dp34,Dp35,Dp36,Dp37,Dp38,Dp39,Dp40,Dp41,Dp42,Dp43,Dp44,Dp45,Dp46,Dp47,Dp48,Dp49,Dp50,Dp51,Dp52,Dp53,Dp54,Dp55,Dp56,Dp57,Dp58,Dp59,Dp60,Dp61,Dp62,Dp63,Dp64,Dp65,Dp66,Dp67,Dp68,Dp69,Dp70,Dp71,Dp72,Dp73,Dp74,Dp75,Dp76,Dp77,Dp78,Dp79,Dp80,Dp81
,44.186418811576566,42.85673589466121,41.56941904938925,40.322973960203804,39.1159678401139,37.94702637704195,36.81483086043271,35.71811547600449,34.65566475741203,33.626311184409126,32.62893291785593,31.66245166261416,30.725830650017443,29.818072732199994,28.938218581116914,28.08534498559654,27.258563240236107,26.457017620385304,25.679883937863885,24.9263681724312,24.195705174368797,23.48715743385509,22.80001391310667,22.13358893753142,21.48722114239444,20.8602724717286,20.252127226441722,19.66219115877198,19.08989061043054,18.534671691944656,17.99599950087446,17.47335737672754,16.96624619053345,16.474183667170507,15.996703738656953,15.533355926731321,15.083704753149185,14.647329176223291,14.223822052222191,13.812789620326807,13.413851009925265,13.02663776909631,12.650793413202303,12.285972992575845,11.931842678343543,11.588079365486584,11.254370292288913,10.930412675373878,10.615913359574277,10.310588481924377,10.014163149102025,9.726371127685995,9.446954546629408,9.175663611382413,8.912256329128166,8.656498244625109,8.408162186175728,8.167028021267367,7.932882421454315,7.705518636073619,7.484736274407292,7.270341095923878,7.0621448082518,6.859964872552954,6.663624315982604,6.472951550938008,6.287780200810906,6.107948931974855,5.933301291750478,5.763685552104317,5.598954558848889,5.438965586122014,5.28358019593472,5.132664102586203,4.986087041754161,4.843722644077221,4.705448313055048,4.571145107099516,4.4406976255776955,4.313993898695389,4.1909252810764706
2019-11-24T00:30:00.0,2129.084127796434,2065.5193506812107,2089.960776847713,2058.8902359917142,1948.1496124415098,1983.9357064277021,1814.3443639642173,2041.2796935648034,1864.194945405824,1774.944092819719,1780.4882395769403,1888.7297733279206,1765.3827768343776,1711.1762572350374,1639.4715945862743,1677.2054733693585,1564.7373204038638,1504.4275367211076,1418.207847406703,1304.9889943285816,1531.568188752872,1243.4076212483592,1269.734206078078,1274.9222392206216,1304.8946816774298,1122.500292434153,1163.6674095045707,1203.907094853113,1222.334547896212,1046.8468494614933,902.8634609053975,1039.1899171934801,807.6729104933099,858.6749216710226,735.8960436371025,877.8740038982853,812.4984448857663,796.8872810516756,680.4875629617032,590.8136918473825,625.459406111405,732.0211247635854,623.4619687877203,511.2867001087909,553.9442922973303,661.3758902572135,581.7310878766424,593.5011838128992,561.9374723018532,634.1313472520059,500.25338082848174,465.30878410685597,433.23567917152604,536.9841667541406,422.1043040419648,470.28952573108177,364.36527980452576,429.3147601540415,360.5480883895762,367.9210344403862,384.0190789249047,352.77479345493794,329.79255306445197,321.1680943979025,390.33264543398064,236.5811523065734,270.2955627425764,361.37352289502076,355.2870157715202,344.4773769615753,354.2845855712579,229.5968076609728,220.10123647146935,228.69265227337354,287.8242175877863,176.79726443054716,217.60223718059905,231.5912111651688,180.4877659824087,172.73527048907258,100.89208365367531
2019-11-24T01:00:00.0,1805.4874976502606,1816.476981290307,1942.3627200820922,1773.6868455326612,1805.1728404997546,1809.611608627681,1717.5696313352944,1614.773132975652,1549.19307715912,1672.592028220331,1609.4794918807665,1563.995536147278,1516.8426743567957,1490.5997202500087,1498.9290802538158,1517.2040947889627,1315.4198335383112,1305.1771719231888,1242.8144767680935,1101.1350261511177,1151.300498278889,1091.611740246195,980.0479272482961,1075.8316919372783,894.7769370121994,794.3076013413008,683.4398617141594,729.8315852591974,678.7950421472495,687.9406264975656,686.832325059291,780.1761849945159,591.271672473818,792.8751996805755,737.8812102371539,722.0197305763447,858.1044831345453,773.3626626806911,745.8320040820495,809.901118736592,890.5608894979438,798.1328577044738,1023.7527156584464,821.7333523151756,849.1130620399155,921.7747647243714,888.3283000382196,947.6146556122234,1033.7478062074363,1098.275625466192,1197.1838604765267,1126.74511345439,1120.196574029221,1044.1254251131718,855.4425058378247,946.3818709196685,1047.9940498714238,1015.6128678673285,1085.0619460017663,1196.7460516729193,1230.780812734908,819.827443923434,681.038419758921,648.857884849205,655.912569862626,650.8920264774309,528.87189269694,462.02575822493907,452.9320243758055,353.91900055785624,225.12616478122885,265.1729163999531,348.1390448916802,365.0862903923657,211.90185770448747,199.31206428009634,216.2133971500077,267.317711911084,74.04503933571556,120.39704709176834,138.37955607651642
2019-11-24T01:30:00.0,1808.6034042813453,1893.6973009573655,1693.0295851507908,1717.4120098598225,1694.3636642645517,1606.6910251676036,1635.4512413263424,1513.317046796326,1408.42352612752,1438.968098062437,1460.0987494054498,1373.5692947588684,1432.1042248464848,1256.246591006347,1277.0358330084666,1096.9310897277312,1144.3867027304525,1047.0755495105493,1072.0652231958488,1198.9218071372263,885.3842401926262,1132.2574763083342,870.0097087021741,786.3525192684135,907.6660934832007,827.5123900083391,870.9015799321519,847.7991545943659,835.5384747825068,881.8757937203816,744.7021658183555,702.8707971956798,695.0375122071883,586.9206645179518,651.0651367675465,605.6227803236739,561.4995859906109,679.1822441201477,776.6109967886389,611.7305051237418,854.1357768602069,580.9324151048867,556.9921419286061,563.5055895534176,706.4586797941827,632.6045936472881,646.7331432367205,683.5615575732875,638.9118202582098,805.2896160151964,672.6155619444944,551.5838310735439,472.3270668356665,428.02486323293476,548.6152963187103,425.14420755870196,502.6743072754397,459.7925202059878,514.1469865077634,506.7289896040156,305.3633927217564,486.6232772015082,516.30967899322,406.11117735962415,355.4097472036297,333.174363118539,515.006255043521,429.72923342809986,188.54055845447547,272.986046921228,272.6585805682013,209.18335911867334,401.9199223142085,198.79693193273923,253.429555225437,216.7185996164893,1763.555724472239,752.2675592414244,652.0206994279907,613.5671285745138,627.2300916061574
2019-11-24T02:00:00.0,1744.7724064250713,1888.099083172538,1783.913678897548,1749.3219325411087,1797.5410535935662,1748.766365122243,1501.9225430969673,1489.3482453248066,1383.1368755839437,1400.4265327153248,1449.1922470242275,1403.902712676171,1388.9067292653504,1298.2895375577768,1194.3267579597903,1067.2505069686856,947.0604462665905,989.5863592132647,983.5379863490153,992.4839473748127,972.1093067463013,926.9601399971988,899.2927988444529,825.9505325405717,686.6664689408691,823.3785179259252,632.4143828660706,766.8251850317776,642.7816787589454,615.3815358670822,598.4356830406404,593.3465329953366,511.8407527721589,519.0173528199056,496.3855583125819,500.5906350985743,513.398862599574,482.0559213756268,499.9977533799501,410.4296972104211,457.02274555096284,401.63174725602374,385.0578743995155,342.67385497768606,412.00565756356275,367.7507001701315,323.74810360539783,373.7038750243251,360.7723530508893,377.0649386103113,362.9719758153111,353.71735386172236,316.52229883213437,378.72721356683184,420.90005131434907,474.78973676330514,420.0617673602025,482.4906843554687,340.98796627048614,440.48019989325,410.7068205585287,317.3720372436537,405.17086838910666,299.04214711524526,260.80703964326875,410.44232069962834,372.2785205511272,421.30640159886747,339.03574888137734,402.09939014509575,311.2302639211221,370.29805519684453,322.7774110486055,447.10099440704255,386.9282321446812,474.3361606838517,381.2122553046217,691.4548738178424,310.1944975322434,343.5212875440052,441.115247650622
2019-11-24T02:30:00.0,1656.6617003790354,1630.0369680449708,1509.6850919959707,1508.0324672967922,1459.7569880965575,1205.582238080878,1264.0137180814925,1217.0559943931717,1120.3867923682462,1079.0817320055785,1049.8704790634256,950.0418978841972,908.8777397568422,863.1651251685122,920.2846836857419,884.0850385173383,721.2026526006996,780.7546045313421,691.9739957660964,743.1762884079202,720.652203049395,663.828010376401,749.0690840038258,690.2186284935808,586.2384400257536,640.5837899673362,569.9639292254892,591.40495322923,537.1428798449759,569.1070554800269,506.0951113055887,480.2983523897182,514.4694232091265,609.9834206909629,434.0569936803404,500.26905099668306,405.0392027111809,410.93583876638,397.3161347986994,408.9570327521214,341.41895188566053,402.4896506161694,417.9755319561328,542.3862969083842,444.07622952013867,515.4600113383168,461.47215082678395,438.30400005646015,375.4153843914456,525.8173572222596,525.7699001060047,550.798931413047,444.8370205112696,479.96430579595136,422.75775797388695,460.5945320377238,422.2892523006256,420.58003594689256,411.09680681787563,337.4528875247189,364.8697058552341,406.19680226222783,345.87439098760103,252.6724520171507,269.5909613430377,361.0547276816718,308.71422305660326,301.9546271888586,261.5615484826019,223.02372714770442,150.19578957082908,184.0404038415548,188.40887777503818,165.30361265960312,384.21286699958915,245.97838125360062,282.4602323246236,290.9662728197369,399.2964693882577,289.55692120621086,218.53112770959368
2019-11-24T03:00:00.0,1316.6817184878346,1261.446432654065,1149.6803408820217,1068.381117334923,988.6877099129695,951.3826519798795,884.3765040342763,884.6675225260096,850.0399395254212,876.2984982720162,783.1182186432584,737.7058730412633,565.0907040011905,629.14671098708,575.3317801725445,598.3596386572412,577.0471676666288,518.007242179754,498.189626373898,416.2429944976616,422.5044838565846,440.6142167745699,351.45782416012105,345.39454005930725,293.6615909990372,325.6950938364211,274.6585857937506,314.98554132784443,313.96442754392154,247.19032435337743,308.8083865505249,236.54945882769167,255.0835455580408,211.84376403378891,263.6306780812275,226.3918677728224,261.60506015216356,224.18540976953165,226.52737818159864,260.1678549427339,208.4130556041888,221.78843467528887,243.08317304366096,251.39010601707682,289.8979869713716,324.23686874204634,238.37413867242932,307.08011784598784,251.0097282543992,370.9495071309633,489.81096662940774,378.80165029274445,255.89788815495714,292.19731355816845,254.24469758549594,370.38067872163214,346.728334140799,286.2139476608253,348.6137758847121,257.8427925550779,245.08860714319462,203.48925177862543,189.6789551934433,217.34569196738127,275.39553440957263,174.0639060221809,245.70814214596146,313.58195043388673,308.42095734481853,217.84798200245388,104.62283372926302,148.4820590765612,163.75415075086772,198.75090015640055,189.7073426898255,148.805602759653,154.70842864214544,135.0560159661606,73.88073095975385,125.53993144416089,156.13149014747418
2019-11-24T03:30:00.0,1175.9092639409946,1142.4114362993867,1047.3880635387238,943.0714311735096,847.8893456701562,810.0491276849172,757.0061495064094,744.6398516252866,676.7943460829039,600.0204032523138,650.6258548582579,526.8785217075653,520.949393095507,528.1623186222259,440.2118797882961,487.64602156391317,414.8118300367478,367.53963634142775,353.7948729158195,356.8517777777647,342.2330480519686,427.45176450875124,281.98106456552534,310.7342287564488,270.3745357304184,390.53874576213514,393.4759562369081,375.50282378823044,485.41073126633603,525.5965855298837,457.55620351852133,440.4059971664291,563.7049415759855,664.0269618164344,511.63799067377283,519.8452089467871,475.61432354746137,683.5995645681907,689.8585047996388,538.6775350910631,424.5630208625326,570.156421847307,528.3480454804167,414.4107308754012,568.5614586457777,343.1341682356732,311.76555738360975,323.8059204281725,206.1639364168748,305.58466459582394,288.0906679462978,309.5761100219711,198.22500975211992,201.188533545262,237.44295488600832,137.46638015754937,220.60858305896855,191.20065454689637,246.2351631955923,177.18379155213705,158.78296591256048,129.14999213888822,192.24135953491847,195.4008372497099,167.34573902714726,103.57323372046619,108.22835983830726,158.13557269838765,159.2871692400338,201.63896196910122,146.7332178425457,203.00390395725495,99.60578031537631,108.39244688351252,116.5957390164194,61.502173113426245,82.82507370558471,161.58249677280781,74.11121394539741,86.68996820391811,92.29370336945132
2019-11-24T04:00:00.0,1195.0821086997273,1038.678781154643,983.1986030027551,958.8748612699338,838.3014084610446,751.5896847713225,726.1765803088572,628.4330540044892,589.0451086422872,519.7722429034349,567.0225471032721,501.20772866315053,509.98397363433713,418.7619969662848,386.84288915673903,368.5996290156192,339.87940038437245,307.67875165282993,268.24503119923503,312.07361162160015,232.7615132139005,284.63714768793517,224.8985830223276,219.61007558298223,226.86041610836452,195.36846516497027,167.3246489514241,187.95054566961676,169.59019087880688,155.15419624493143,129.96188684026075,135.33244530464327,121.65874061660436,113.53038155402349,149.53410204015995,110.06804420048348,122.74393631302544,107.86333613289376,102.47453642669925,116.96370569743965,102.99135754603196,114.80169752950758,140.54097918042922,132.39522608206588,118.36134641592162,73.02474566699564,91.66032863260168,126.81206895671882,131.32078488056086,135.93082448626365,91.18804852123347,155.85680664883532,82.485728696722,86.65867407992864,88.49946482964522,123.14467880381325,142.16792060827058,66.621352978899,129.91430225103585,87.28098265113684,85.58162671715391,75.84758642244618,155.75008036147733,77.65683975219389,103.14025480068605,85.54899484103726,45.60680380563252,68.13529734384606,140.88232106418388,123.13120001981444,75.62999743333675,53.60795898894858,0.1173905972889682,79.34226974890188,59.321473440958194,61.82203069267738,92.40020039616078,67.71058041015216,0.1354285695981088,119.18222020660728,28.313867320875847
2019-11-24T04:30:00.0,1154.7940353186957,1088.5179741871677,1021.9389888005705,942.4576190919361,781.1758929492734,815.3367790898068,785.8905142274855,677.1764610261167,629.2751915712489,584.7740013268208,549.0088750624623,498.1014789318168,556.0533433890333,517.4792381139208,391.7442314614888,450.70536378617913,389.43077057835626,422.2525658009142,320.7367392223508,329.79632437024645,352.5629945430416,306.1628537755705,247.57850556077713,248.6990204004863,272.0893702341581,254.34517286583755,205.94710709255264,205.89947467195006,231.56497330055603,166.72623846987673,173.72386594099305,228.38531362269669,208.8010801174383,179.61514368637455,201.64591489891603,169.1039489642925,232.9914847625536,184.0236626840615,185.00463227752027,229.66658025782277,136.3833417865408,233.08403395839193,250.4002132254212,197.0785153896166,243.21626850387284,376.457243736446,532.5645054515454,294.20803570615726,370.91445293700133,406.52224327452166,196.80919208039708,329.64776852025204,350.41406140899767,469.5082687294646,324.2062559660638,472.83897577084645,238.90481255868855,222.61512569582422,357.01282206150864,347.50163776885864,335.11229962863877,447.36454331182256,352.40832133116464,339.21285386500244,411.1228330282526,232.0784869710204,231.3167180520363,204.53342275833137,225.632242313479,179.96291280629436,219.4435487372611,175.1580127884269,210.35128686432986,131.9315258082654,119.14952875532906,122.41153412872059,127.10446339022779,67.25513819994417,177.30372962334897,176.14900744789844,91.10935996934303
