D,N
3.7223, 0
3.7223, 17.9437
5.8561, 17.9437
5.8561, 55.2861
7.8615, 55.2861
7.8615, 105.2376
9.8656, 105.2376
9.8656, 217.2648
11.8646, 217.2648
11.8646, 193.9864
13.9586, 193.9864
13.9586, 113.967
15.8901, 113.967
15.8901, 49.4665
17.9037, 49.4665
17.9037, 19.3986
19.873, 19.3986
19.873, 5.8195
21.7987, 5.8195
21.7987, 0.9699
24.3513, 0.9699
24.3513, 0
