D,N
3.2623, 0
3.2623, 16.0039
6.4003, 16.0039
6.4003, 10.6693
9.3296, 10.6693
9.3296, 6.3046
12.3841, 6.3046
12.3841, 9.2144
15.4805, 9.2144
15.4805, 13.0941
18.3672, 13.0941
18.3672, 20.8535
21.7557, 20.8535
21.7557, 35.8875
24.4322, 35.8875
24.4322, 54.8012
27.4012, 54.8012
27.4012, 45.1018
30.4148, 45.1018
30.4148, 11.1542
33.4302, 11.1542
33.4302, 2.4248
36.3595, 2.4248
36.3595, 1.9399
39.4141, 1.9399
39.4141, 0
