t,Dp0,Dp1,Dp2,Dp3,Dp4,Dp5,Dp6,Dp7,Dp8,Dp9,Dp10
,197.5,230.0,300.0,412.5,525.0,715.0,1037.5,1375.0,1760.0,2287.5,2977.5
2019-11-24T00:30:00.0,431.42330063077446,146.73666021006014,16.926826464801756,2.8473202744188857,1.9397088769709974,0.6021808270435075,0.2796469421053145,0.15622960854148654,0.08825755997809859,0.0640482000645141,0.03891581764705985
2019-11-24T01:00:00.0,561.7863968278556,189.8089917698148,22.317288218250297,3.610527515046182,2.6414744439501185,0.7938046551434684,0.3811789045911822,0.20951664178566137,0.10185182199007613,0.08312985795488297,0.04247773142162528
2019-11-24T01:30:00.0,617.750435838299,210.592412262219,25.351594325450566,4.19693483202113,3.046492588676751,0.9197005605267249,0.4487889050903988,0.2948691284603826,0.1162867204815232,0.08704417511408295,0.05038398117142151
2019-11-24T02:00:00.0,607.9885892716654,207.8724683262359,24.90945171573751,4.0791694702133015,2.9356799452035784,0.8879795826350632,0.41774814387313686,0.27836920384895625,0.11633834706201936,0.09888564727870981,0.061442707714949966
2019-11-24T02:30:00.0,376.9123612158561,161.14181543409276,20.3965215688633,3.6546699698825833,2.282222385740149,0.583518898208041,0.21237707333966863,0.15042183984305854,0.08338302960677484,0.08770035365668395,0.05833192553551559
2019-11-24T03:00:00.0,471.489166097506,216.8980606323242,27.594634993192187,4.651199025002739,2.843658947850045,0.6018679139978648,0.1641902811586057,0.106646026049452,0.07055161864227599,0.0773221091521869,0.05361668660073312
2019-11-24T03:30:00.0,493.2851394500617,232.06551734571374,31.142292421011174,5.453949951656666,3.438874594837083,0.6501006354668698,0.16290882606835047,0.09619460376275211,0.06091459554868092,0.0749463747994555,0.04526860237532614
2019-11-24T04:00:00.0,478.75802428848846,223.44503966317424,30.55732481512702,5.460103294166679,3.5400830523611253,0.6570455977503712,0.18128766095635157,0.09620405924597394,0.07717093331666611,0.07399382845776543,0.05193552170162338
2019-11-24T04:30:00.0,389.02651240238595,174.712223987018,23.914817369765924,4.538669513837822,3.006193334957327,0.6048016439734201,0.15665175121128588,0.09169579716922012,0.07806739451300282,0.08080434274433282,0.06756964298205206
2019-11-24T05:00:00.0,318.74859743913345,137.28691038109415,19.197876460900282,3.941776145406775,2.722349207343203,0.5703955890507244,0.1555165819956854,0.07725130111037332,0.07165120490241964,0.08638999601057723,0.06306592812438157
2019-11-24T05:30:00.0,188.52750146340887,72.91964742773726,9.660271913259807,2.2228800006055565,1.560677246964101,0.37517287713670905,0.12378959654118221,0.0746720072975036,0.07001650821496275,0.08025227016392908,0.0595582806332921
2019-11-24T06:00:00.0,192.00652907972417,73.3718992158737,9.58961236369466,2.2982916135386895,1.5685140346138868,0.3810646923147323,0.12894821421569636,0.07518570753734374,0.06522555339650593,0.07944935560001591,0.05371401748547043
2019-11-24T06:30:00.0,174.64437323534762,62.76226065804706,8.111113823996336,2.0999931317007845,1.330547446846745,0.3104481914886315,0.10996276240357389,0.06581392040379586,0.06089671766030402,0.0683943407586041,0.055865820210195746
2019-11-24T07:00:00.0,149.7214686172904,54.212061245312526,7.25769969578515,1.9893302315887929,1.161772039915004,0.23359004944704034,0.0979399566543723,0.051206366205287644,0.05391066734697291,0.06294206102529602,0.044128515010078875
2019-11-24T07:30:00.0,134.91500955075156,50.46264193637134,6.687872422131379,1.9250376418734674,1.02731758943108,0.22745637990839052,0.08083345290855543,0.0545644423023854,0.04980770719831732,0.061030169443075974,0.042429045131073144
2019-11-24T08:00:00.0,141.3915670837641,53.040460520782226,6.969383312044616,1.984764559031998,1.060915560029327,0.253499992432308,0.0980654814180824,0.08338571245515267,0.07141038495899878,0.05762026900069678,0.05062081359781326
2019-11-24T08:30:00.0,128.0621843097478,48.46937712537113,6.2765893770201515,1.7258583637608564,1.0172161059438625,0.25930524439477115,0.09774078614408419,0.09043504649173338,0.0769764246867551,0.058297309711569455,0.05376414408643514
2019-11-24T09:00:00.0,88.86084119420379,35.21535948901732,4.583400852744414,1.1279271891507754,0.7266528155057705,0.15227530323278238,0.05818525988174615,0.03866547661280637,0.043732471415857795,0.04361792791516955,0.03926287448052074
2019-11-24T09:30:00.0,68.04480212436036,28.21926295002793,3.648767897416245,0.956278921769966,0.6142189641479507,0.1822964073511146,0.08282007024095801,0.06545279846035768,0.05524172242758699,0.049312263751676494,0.03137317965304318
2019-11-24T10:00:00.0,45.41025187844643,18.85071027796369,2.5807214743881106,0.7059333250945313,0.5283463206309064,0.13120158457700196,0.05538930797199933,0.04790965926729799,0.032225149757371375,0.033758592925849124,0.023913809759955183
2019-11-24T10:30:00.0,32.89447345123898,14.023392246607747,2.1128469145639737,0.5547024694502881,0.3906596988287809,0.10555701234893404,0.04068379832426587,0.02553708015078586,0.01893343499948072,0.01906695576976243,0.018105887148457605
2019-11-24T11:00:00.0,22.550158352928076,9.469576629334332,1.4857397117800035,0.4141409568103953,0.31011197029796456,0.08531996736692321,0.03593634766257786,0.025756629664689574,0.015052443741187005,0.014796730806215842,0.013147659528530845
2019-11-24T11:30:00.0,24.453981129766888,9.916031666188129,1.3743143814178278,0.34489741520384176,0.28208973837919205,0.08628566398158422,0.035587949994069015,0.029601175225031234,0.015049314694730871,0.013382271306568274,0.012599950963258194
2019-11-24T12:00:00.0,26.119868363337627,10.640161039451462,1.496187404322816,0.3898446784206477,0.31705096332063704,0.07708267312059364,0.030970370104259563,0.01898432478279707,0.01623455871447855,0.017170356981672876,0.012661804931010351
