t,Dp1,Dp2,Dp3,Dp4,Dp5,Dp6,Dp7,Dp8,Dp9,Dp10,Dp11,Dp12,Dp13,Dp14,Dp15,Dp16,Dp17,Dp18,Dp19,Dp20,Dp21,Dp22,Dp23,Dp24,Dp25,Dp26,Dp27,Dp28,Dp29,Dp30,Dp31,Dp32,Dp33,Dp34,Dp35,Dp36,Dp37,Dp38,Dp39,Dp40,Dp41,Dp42,Dp43,Dp44,Dp45,Dp46,Dp47,Dp48,Dp49,Dp50,Dp51
,211.39545769669408,203.5831678606271,196.11848759691193,188.98257739113234,182.1577697728535,175.62749396233434,169.3762047528777,163.3893155246218,157.65313526440468,152.15480944946216,146.88226463990244,141.82415661577164,136.9698218886912,132.3092324150691,127.83295333735167,123.53210358127308,119.39831914020736,115.4237188821926,111.60087272067426,107.92277199624449,104.38280192341024,100.97471596352037,97.6926119922538,94.53091013740244,91.48433216995024,88.54788233859841,85.71682954482658,82.9866907622826,80.35321561072064,77.81237200083015,75.36033277211263,72.99346325145699,70.7083096652354,68.50158834260351,66.3701756522328,64.31109861895746,62.32152617077828,60.39876097035655,58.540231788560995,56.74348638081164,55.006184829917274,53.326093321838236,51.70107832333466,50.12910113280262,48.60821277776433,47.136549234475936,45.71232694696553,44.33383862451509,42.99944929817688,41.70759261836389,40.4567673768957
2019-11-24T00:30:00.0,753.6184359637211,767.64008642562,726.9133842051598,759.5749934557382,742.624147532094,767.2705884614821,734.0806567425363,762.0570927494614,764.4734140044637,729.7403375035461,851.8354809920868,751.8158482495694,782.2257217492452,906.9072007790596,825.8700989228768,910.7435745564007,856.4104467022886,880.4287792579544,839.694122738711,873.0262052588762,962.0208769154906,1068.5062025074515,1094.4290976362438,1164.2906866812496,1230.118820647061,1313.568108856108,1214.4028936705126,1522.758105257822,1302.484159310297,1455.0260009069498,1457.1615457695634,1590.7669497090992,1364.4055959493762,1580.7880566050449,1522.0191213379744,1635.3851962579636,1575.9354715366383,1564.627456564283,1629.3322057882574,1726.1801812242938,1621.1016037692912,1653.4519418588616,1547.280866064158,1503.1614135376922,1574.5283790151616,1793.3966706275864,1923.9864575402635,1681.2746431735736,1577.2701330541265,1874.068990525754,1712.9504069064533
2019-11-24T01:00:00.0,850.0271929501374,918.4242904148223,814.7414429166299,796.1041776785223,828.0521645932135,966.7334408780439,819.9390984335718,816.6117518938183,715.2083739126307,746.362805879239,870.0340982073392,765.6073909679602,799.7515890980172,717.4859681532964,772.4026506759483,735.1393470188331,835.5350442994197,763.4896555649741,776.816514160236,839.6581253241154,903.2981905161669,886.387822220964,1016.7858142196649,1368.0743654259072,1213.3814658170552,1304.7289079502507,1229.6635015549214,1264.0372300069653,1513.655614951389,1539.3119478226754,1526.2707780304395,1418.4839129563366,1562.4047207583033,1567.025619881732,1422.2365804579172,1329.8093098889321,1393.1943343154971,1543.3173641430467,1470.3324868235177,1474.9252369287503,1475.9438590646978,1598.9091065081884,1481.5256400418798,1456.6574159241359,1546.4325835717273,1409.4581026447386,1351.4945721234485,1524.8358427810913,1505.5269020616356,1674.9821074540932,1458.4748213541325
2019-11-24T01:30:00.0,902.6013613183266,845.7170245511909,828.0728152037907,753.5365387362253,784.2282997097632,825.3824505882249,849.0385849487891,870.6218206602339,875.3574365478303,711.8076284644053,798.6102679012931,799.9050383106576,793.9963518622251,812.1218235353588,734.6109163467502,727.7783833417479,823.2193235527826,811.7573597312223,844.4881665018604,851.9781153922798,843.4006385559591,930.5221620831292,1086.961762586414,1170.767967600431,1129.007514087828,1244.4206649461316,1219.0412578950345,1362.500257915735,1404.1895274817869,1437.9335259753539,1430.0327749920423,1386.8524285219955,1421.5712774070694,1459.7824671365552,1388.7782858836451,1443.9798563594463,1643.7869419253796,1510.5974955725014,1719.3842227992595,1506.354630753542,1392.234765403368,1480.1105040196321,1431.9954164547737,1248.4559437356434,1479.054621422576,1399.8877035620244,1340.4358661053286,1333.9107306162653,1560.5324091930142,1583.0753062391357,1389.4125718767168
2019-11-24T02:00:00.0,422.5363294143192,499.9833865569715,517.7042798012465,557.6178064115279,480.87143944942966,597.8004680101897,557.764806108857,541.2419964623808,601.1829573831494,616.6852215969068,696.2762864231161,597.8734293757757,750.2648493287138,665.7660506326959,648.2761642123507,768.2321169491055,737.5906653199356,842.1072052788842,764.6413534344324,948.5974022001407,1040.8289242563123,1086.7568549267876,987.5896147466735,1100.092375516975,1222.168560193741,1222.4040974349325,1357.769603108371,1281.9929804478456,1328.2202027759981,1332.4003068344782,1411.0134382554584,1360.784703929657,1443.642336775878,1256.5744318452835,1249.8980893091975,1389.787955975109,1617.216997499656,1268.241711027179,1205.595431501608,1412.361718054613,1177.144725270438,1233.1862387477445,1158.4475645653156,1125.5942676463856,1133.1806479873744,1020.0958893365731,971.5078854266621,1096.540069738724,1041.9208396356157,1142.5241907260984,1010.5960801085864
2019-11-24T02:30:00.0,464.1102137364576,537.7892648765854,501.5135285340121,540.1756341042113,525.8106881481127,634.1213200804299,595.3869142665951,566.3399317219652,564.3019866626097,582.4275960202966,564.614962326,528.4464724379454,585.7579431699561,513.92656145656,573.9921223127848,611.2372331227836,599.57660154312,623.7325213521455,666.024631528369,755.0725542559736,707.5206437010406,859.0619506717449,980.051458836502,965.9622449368447,1050.9653554110191,1207.8095096152715,1240.285820262614,1092.7998302063982,1266.4410577001959,1226.583060741565,1351.1342020162745,1245.1851410241238,1231.302338983729,1288.7235739997916,1175.1431237489867,1294.8688784276687,1167.8036249084375,1287.3563396839245,1260.2091989456733,1230.9225993855487,1278.1373697343386,1057.867428056897,1142.1380142745659,951.8264337359227,1019.6623212464622,1161.7197210981894,1087.4370043340637,981.1897426661344,979.9432361826628,1083.7467378194092,925.3611401433071
2019-11-24T03:00:00.0,504.65919593303823,493.4928118606554,616.2710693030317,547.3290716742523,549.4657763047433,563.9437164223937,594.4695171636895,558.6541927188632,537.7700031763283,621.3128044176151,531.2704383536783,546.7015276079336,437.29624982964754,582.8469681731343,689.8989140859027,547.9254733666965,543.4978795288541,609.0729173165364,739.7859947965862,697.5997584793884,783.1092016070987,796.196986831277,929.4649684851738,998.8242832418794,996.0464070925196,1069.7577075968634,1061.1037856014755,1117.2696082908888,1204.6900790213122,1199.7609409021263,1325.3915952807006,1331.20142191773,1397.7785144426502,1288.7176061261416,1102.4769284615136,1162.975639567786,1129.7943803261614,1130.8343664020017,1101.1287340392516,935.0992701926034,984.1891744357802,954.3120340110547,941.6597169636682,993.8746133840059,776.5086126452486,754.2987518420134,738.3152150205614,751.8819632513257,867.5293902086337,752.4323590481414,779.9050534442038
2019-11-24T03:30:00.0,561.5120342070344,497.596243511695,584.822488298606,598.7159487576553,520.5529026372194,634.7536725633221,591.7066192106793,587.5288152280739,571.7618139651929,605.0559347323326,601.5167496852437,618.5797414201265,582.0939449154106,639.1383671691117,598.9261122110613,668.6004308780093,672.0565790227536,740.9426484036775,744.6240189856884,708.1326121061609,837.6716295033585,1069.6581529023392,1026.4141846919797,999.4303757645619,1157.7535651388002,1238.9637720403898,1308.936092697049,1266.6351462830896,1365.5365999605128,1296.290384877941,1388.7627698181593,1352.7655042478061,1327.3418182047658,1332.5962548787495,1194.0178581157168,1060.243003039462,1072.8105834734306,1071.6522716354225,1029.5847779771827,1084.2788834155513,982.7783174576637,1011.0700745702532,1003.4151737927893,822.1395856475808,793.3852166643019,818.5669685471732,665.9180693354333,766.6692533213036,926.1092741245582,672.7600417728921,649.2630425356184
2019-11-24T04:00:00.0,526.4163368930409,520.4737852675905,512.8904845990492,513.8248033171099,564.9549430736485,544.1749633427917,604.8589052561088,657.9562411042546,622.8753937521931,638.0424728214564,678.0152584695062,732.4880288329562,650.3755672419361,607.6136065129249,746.4811287763773,739.7125330655176,802.3785086620458,863.9701433839828,931.5896857123462,1002.7476489170157,1121.6451179041865,1204.349500208149,1209.986712087731,1328.0606156956865,1377.2382346736645,1505.930470183458,1448.580987514978,1462.96836868244,1425.747497632744,1563.6710074880702,1443.0674937163255,1665.7329001662151,1427.313317446969,1443.1437436017127,1429.722764104641,1429.85350001769,1279.5276145338541,1368.0522151200958,1298.6071665922705,1269.353989427631,969.7867729502483,1094.5619617753423,1036.7825346477646,961.4173428482525,780.2774387145798,922.6854541544291,826.8620500262025,682.5179667706745,782.8369876745047,832.6431728558618,630.6110487266953
2019-11-24T04:30:00.0,410.4693914324167,486.60851134903817,531.2148094422159,576.0289533076011,489.3778364539244,524.674659354104,523.3384490334349,595.9724160480233,627.595552058862,698.9116325509798,579.4800999290692,700.3504685903727,647.91658828974,723.9777868693009,815.6655010942902,797.1528255929572,912.4860869095148,944.9894679102697,959.7652041812523,1218.693133315745,1180.622314948632,1060.092475148303,1254.0231025039952,1413.4746182451977,1573.4783942227277,1615.1816218861204,1466.4338563308286,1567.9314188431795,1480.1124563429055,1539.8034802882923,1545.7420433676148,1642.9427571419196,1513.857704315773,1581.1567653147831,1588.2750988373034,1450.7024087590562,1651.4417979025056,1341.8239116925542,1276.9499863234591,1241.6528771944718,1202.3748703378508,1248.0486854451592,996.7738691309796,1023.3517883787706,873.07415223189,887.6250191186432,796.9076711099825,768.6845940415581,923.9491346810291,868.7366654503949,707.9039673278771
