x,y
-0.2379, 1.9609
0.0956, 1.971
0.3605, 1.9602
-0.5518, 1.9195
-0.8952, 1.8359
-1.1895, 1.7525
-1.4641, 1.6481
-1.6898, 1.491
-1.886, 1.3655
-2.1018, 1.198
-2.2784, 1.0095
-2.4157, 0.8315
-2.5333, 0.6324
-2.6707, 0.381
-2.759, 0.1714
-2.8081, -0.0383
-2.8473, -0.2793
-2.867, -0.5205
-2.867, -0.7931
-2.8178, -1.0029
-2.7002, -1.2022
-2.5432, -1.3807
-2.3765, -1.5067
-2.2097, -1.5908
-2.0331, -1.6854
-1.8565, -1.7485
-1.6701, -1.8327
-1.4543, -1.8959
-1.2483, -1.9381
-1.0423, -1.9698
-0.8265, -1.9701
-0.591, -1.9914
-0.3556, -1.9917
-0.13, -1.971
0.1251, -1.9818
0.3703, -1.9717
0.6156, -1.972
0.8314, -1.9513
1.0668, -1.9201
1.2925, -1.8784
1.4985, -1.8159
1.6848, -1.7637
1.8909, -1.6696
2.1263, -1.5546
2.3617, -1.4186
2.5481, -1.251
2.6658, -1.052
2.7934, -0.8319
2.8326, -0.5804
2.8326, -0.3497
2.7934, -0.14
2.7345, 0.0803
2.6461, 0.2901
2.5187, 0.5419
2.401, 0.7203
2.2244, 0.9512
2.0773, 1.1401
1.9203, 1.3081
1.6947, 1.4657
1.4887, 1.6021
1.2434, 1.7074
1.0178, 1.8021
0.7529, 1.9073
-0.2379, 1.9609
