x,y
-0.0399, 1.4434
-0.0203, 1.4224
-7.072e-4, 1.4226
0.0189, 1.4226
0.0385, 1.4227
0.0581, 1.4228
0.0777, 1.4229
0.0973, 1.423
0.1169, 1.423
0.1365, 1.4231
0.1561, 1.4232
0.1756, 1.4022
0.1952, 1.4022
0.2147, 1.4024
0.2344, 1.4025
0.254, 1.3816
0.2736, 1.3817
0.2932, 1.3817
0.3128, 1.3818
0.3324, 1.3819
0.3519, 1.382
0.3716, 1.382
0.3912, 1.382
0.4108, 1.3822
0.4304, 1.3822
0.4499, 1.3614
0.4695, 1.3614
0.4891, 1.3615
0.5087, 1.3616
0.5283, 1.3407
0.5479, 1.3407
0.5675, 1.3408
0.587, 1.3199
0.6066, 1.32
0.6261, 1.3201
0.6458, 1.2991
0.6654, 1.2992
0.685, 1.2993
0.7046, 1.2993
0.7242, 1.2993
0.7438, 1.2785
0.7633, 1.2786
0.7829, 1.2577
0.8025, 1.2368
0.8221, 1.2368
0.8417, 1.2159
0.8613, 1.216
0.8809, 1.2161
0.9003, 1.1951
0.92, 1.1952
0.9396, 1.1953
0.9592, 1.1743
0.9592, 1.1534
0.9788, 1.1535
0.9787, 1.1325
0.9983, 1.1115
1.0179, 1.1116
1.0375, 1.1117
1.0571, 1.0908
1.0766, 1.0699
1.0962, 1.0489
1.0962, 1.0279
1.1158, 1.028
1.1353, 1.0071
1.1353, 0.9861
1.1549, 0.9651
1.1745, 0.9653
1.1745, 0.9443
1.194, 0.9233
1.2136, 0.9234
1.2332, 0.9024
1.2332, 0.8815
1.2527, 0.8606
1.2527, 0.8396
1.2723, 0.8397
1.2723, 0.8187
1.2919, 0.7976
1.3114, 0.7768
1.331, 0.7559
1.331, 0.7349
1.3309, 0.7139
1.3505, 0.693
1.37, 0.6721
1.3897, 0.6511
1.3896, 0.6301
1.4092, 0.6301
1.4288, 0.6093
1.4288, 0.5883
1.4483, 0.5674
1.4679, 0.5675
1.4679, 0.5465
1.4875, 0.5255
1.507, 0.5046
1.507, 0.4836
1.5266, 0.4627
1.5266, 0.4417
1.5461, 0.4208
1.5461, 0.3998
1.5461, 0.3788
1.5461, 0.3578
1.546, 0.3368
1.5655, 0.3159
1.5655, 0.2949
1.5655, 0.2739
1.5851, 0.253
1.5851, 0.232
1.6047, 0.232
1.6047, 0.211
1.6046, 0.19
1.6242, 0.1691
1.6242, 0.1481
1.6242, 0.1271
1.624, 0.1061
1.624, 0.0851
1.624, 0.0641
1.6437, 0.0432
1.6436, 0.0222
1.6436, 1.2215e-3
1.6436, -0.0198
1.6436, -0.0408
1.6435, -0.0618
1.6435, -0.0828
1.6435, -0.1038
1.6434, -0.1248
1.6434, -0.1458
1.6434, -0.1668
1.6434, -0.1878
1.6433, -0.2088
1.6433, -0.2298
1.6433, -0.2507
1.6433, -0.2717
1.6432, -0.2927
1.6432, -0.3136
1.6432, -0.3347
1.6236, -0.3558
1.6235, -0.3768
1.6235, -0.3978
1.6038, -0.4189
1.6038, -0.4399
1.6038, -0.4609
1.6038, -0.4819
1.5842, -0.5029
1.5842, -0.5239
1.5645, -0.545
1.5645, -0.5659
1.5449, -0.5871
1.5449, -0.608
1.5253, -0.6292
1.5056, -0.6502
1.5056, -0.6712
1.5056, -0.6922
1.486, -0.7133
1.4663, -0.7344
1.4466, -0.7555
1.4271, -0.7555
1.4075, -0.7766
1.4075, -0.7976
1.3879, -0.7976
1.3683, -0.8188
1.3486, -0.8397
1.329, -0.8609
1.3094, -0.882
1.2898, -0.9031
1.2702, -0.9031
1.2506, -0.9242
1.2309, -0.9453
1.2113, -0.9664
1.2113, -0.9874
1.1917, -1.0084
1.172, -1.0295
1.1524, -1.0296
1.1328, -1.0297
1.1328, -1.0507
1.1132, -1.0507
1.0936, -1.0508
1.074, -1.0719
1.0544, -1.072
1.0348, -1.093
1.0152, -1.0931
0.9956, -1.1142
0.976, -1.1143
0.9564, -1.1353
0.9367, -1.1564
0.9171, -1.1565
0.8975, -1.1776
0.8779, -1.1776
0.8582, -1.1987
0.8387, -1.1988
0.8191, -1.1989
0.7995, -1.2199
0.7799, -1.22
0.7603, -1.2201
0.7407, -1.2202
0.721, -1.2203
0.7015, -1.2413
0.6819, -1.2414
0.6623, -1.2415
0.6427, -1.2626
0.6231, -1.2626
0.6035, -1.2627
0.5838, -1.2838
0.5643, -1.2839
0.5447, -1.2839
0.525, -1.305
0.5053, -1.3051
0.4858, -1.3262
0.4662, -1.3262
0.4466, -1.3263
0.427, -1.3264
0.4074, -1.3265
0.3878, -1.3266
0.3682, -1.3266
0.3487, -1.3267
0.3291, -1.3268
0.3094, -1.3269
0.2899, -1.3269
0.2703, -1.327
0.2506, -1.3481
0.231, -1.3482
0.2115, -1.3482
0.1918, -1.3693
0.1722, -1.3694
0.1526, -1.3695
0.133, -1.3696
0.1134, -1.3696
0.0939, -1.3697
0.0743, -1.3698
0.0547, -1.3699
0.0351, -1.3699
0.0155, -1.37
-4.1275e-3, -1.37
-0.0237, -1.3702
-0.0433, -1.3702
-0.0629, -1.3703
-0.0825, -1.3704
-0.1021, -1.3705
-0.1217, -1.3706
-0.1413, -1.3706
-0.1609, -1.3707
-0.1804, -1.3708
-0.2001, -1.3709
-0.2197, -1.3709
-0.2393, -1.371
-0.2589, -1.3711
-0.2784, -1.3502
-0.298, -1.3503
-0.3176, -1.3503
-0.3372, -1.3504
-0.3568, -1.3505
-0.3764, -1.3506
-0.396, -1.3296
-0.4156, -1.3296
-0.4352, -1.3298
-0.4548, -1.3299
-0.4744, -1.33
-0.494, -1.33
-0.5135, -1.3301
-0.5332, -1.3302
-0.5527, -1.3093
-0.5723, -1.3093
-0.5918, -1.3094
-0.6115, -1.3094
-0.6311, -1.3096
-0.6507, -1.3096
-0.6703, -1.3096
-0.6899, -1.2888
-0.7095, -1.2889
-0.729, -1.289
-0.7486, -1.268
-0.7682, -1.2681
-0.7682, -1.2471
-0.7877, -1.2472
-0.8074, -1.2473
-0.827, -1.2264
-0.8466, -1.2264
-0.8662, -1.2265
-0.8857, -1.2056
-0.9053, -1.2057
-0.9249, -1.2057
-0.9445, -1.2058
-0.9641, -1.1849
-0.9837, -1.185
-0.9837, -1.164
-1.0033, -1.1641
-1.0228, -1.1431
-1.0424, -1.1432
-1.062, -1.1223
-1.0816, -1.1224
-1.0816, -1.1014
-1.1011, -1.0805
-1.1207, -1.0805
-1.1403, -1.0596
-1.1599, -1.0597
-1.1795, -1.0388
-1.199, -1.0178
-1.2186, -1.0179
-1.2382, -1.018
-1.2382, -0.9969
-1.2578, -0.9761
-1.2578, -0.955
-1.2772, -0.9342
-1.2969, -0.9342
