x,y
-1.3165, -0.9133
-1.3361, -0.8923
-1.3556, -0.8715
-1.3752, -0.8506
-1.3948, -0.8506
-1.4144, -0.8296
-1.4339, -0.8088
-1.4535, -0.7879
-1.4731, -0.767
-1.4926, -0.746
-1.5122, -0.725
-1.5122, -0.7041
-1.5318, -0.6832
-1.5513, -0.6623
-1.5513, -0.6413
-1.5513, -0.6202
-1.5513, -0.5993
-1.5512, -0.5783
-1.5512, -0.5573
-1.5708, -0.5364
-1.5707, -0.5154
-1.5707, -0.4944
-1.5903, -0.4735
-1.5903, -0.4525
-1.6099, -0.4525
-1.6098, -0.4315
-1.6098, -0.4104
-1.6294, -0.3896
-1.6294, -0.3686
-1.6293, -0.3476
-1.6489, -0.3267
-1.6489, -0.3057
-1.6488, -0.2847
-1.6488, -0.2637
-1.6488, -0.2427
-1.6488, -0.2217
-1.6487, -0.2006
-1.6487, -0.1797
-1.6487, -0.1587
-1.6487, -0.1377
-1.6486, -0.1167
-1.6486, -0.0957
-1.6486, -0.0747
-1.6486, -0.0537
-1.6484, -0.0327
-1.6484, -0.0117
-1.6484, 9.2579e-3
-1.6484, 0.0303
-1.6484, 0.0513
-1.6484, 0.0723
-1.6288, 0.0933
-1.6288, 0.1143
-1.6091, 0.1354
-1.6091, 0.1564
-1.6091, 0.1774
-1.6091, 0.1984
-1.5894, 0.2195
-1.5894, 0.2405
-1.5894, 0.2615
-1.5697, 0.2825
-1.5697, 0.3035
-1.5697, 0.3245
-1.5501, 0.3456
-1.5501, 0.3666
-1.55, 0.3876
-1.55, 0.4086
-1.55, 0.4296
-1.5304, 0.4506
-1.5303, 0.4717
-1.5107, 0.4927
-1.491, 0.5138
-1.4715, 0.5349
-1.4519, 0.556
-1.4518, 0.577
-1.4322, 0.5979
-1.4322, 0.619
-1.4126, 0.6401
-1.3929, 0.6612
-1.3733, 0.6823
-1.3537, 0.7033
-1.3341, 0.7244
-1.3341, 0.7454
-1.334, 0.7664
-1.3144, 0.7875
-1.3144, 0.8085
-1.2948, 0.8086
-1.2752, 0.8296
-1.2751, 0.8506
-1.2555, 0.8717
-1.2359, 0.8718
-1.2359, 0.8928
-1.2163, 0.9138
-1.1967, 0.9139
-1.1771, 0.935
-1.177, 0.956
-1.1574, 0.9561
-1.1378, 0.9771
-1.1182, 0.9982
-1.0986, 1.0193
-1.0789, 1.0404
-1.0789, 1.0614
-1.0593, 1.0614
-1.0397, 1.0825
-1.0397, 1.1035
-1.0201, 1.1036
-1.0005, 1.1037
-0.9809, 1.1037
-0.9613, 1.1248
-0.9417, 1.1249
-0.9221, 1.146
-0.9024, 1.1671
-0.8828, 1.1671
-0.8632, 1.1882
-0.8436, 1.1883
-0.8239, 1.1884
-0.8044, 1.1884
-0.7848, 1.1885
-0.7652, 1.2096
-0.7456, 1.2097
-0.726, 1.2097
-0.7064, 1.2308
-0.6867, 1.2309
-0.6867, 1.2519
-0.6672, 1.252
-0.6476, 1.273
-0.628, 1.2731
-0.6082, 1.2942
-0.5887, 1.2943
-0.5691, 1.3153
-0.5495, 1.3154
-0.5299, 1.3155
-0.5103, 1.3155
-0.4907, 1.3157
-0.4711, 1.3157
-0.4515, 1.3158
-0.4319, 1.3159
-0.4123, 1.337
-0.3927, 1.337
-0.3731, 1.3371
-0.3535, 1.3582
-0.3338, 1.3583
-0.3143, 1.3583
-0.3143, 1.3793
-0.2947, 1.3794
-0.2751, 1.3795
-0.2555, 1.3796
-0.2359, 1.3796
-0.2163, 1.4007
-0.1967, 1.4008
-0.1771, 1.4009
-0.0399, 1.4434
