Na,CDNC
946.73, 215.9722
949.3671, 215.9722
952.0042, 216.6667
954.6414, 216.6667
957.2785, 216.6667
959.9156, 217.3611
962.5527, 218.0556
965.1899, 218.75
967.827, 218.75
970.4641, 219.4444
973.1013, 219.4444
975.7384, 219.4444
975.7384, 220.1389
978.3755, 220.8333
981.0127, 220.8333
983.6498, 221.5278
986.2869, 221.5278
988.9241, 221.5278
991.5612, 222.2222
994.1983, 222.9167
996.8354, 223.6111
999.4726, 223.6111
1002.1097, 224.3056
1004.7468, 224.3056
1007.384, 224.3056
1010.0211, 225.0
1012.6582, 225.6944
1015.2953, 226.3889
1017.9325, 226.3889
1020.5695, 227.0833
1023.2068, 227.0833
1025.8439, 227.7778
1028.4809, 227.7778
1031.1181, 227.7778
1033.7553, 228.4722
1036.3924, 229.1667
1039.0295, 229.8611
1041.6667, 229.8611
1044.3038, 229.8611
1046.9409, 229.8611
1046.9409, 230.5556
1049.5781, 231.25
1052.2152, 231.25
1054.8523, 231.9444
1057.4895, 231.9444
1060.1266, 232.6389
1062.7637, 232.6389
1065.4008, 232.6389
1068.038, 233.3333
1070.6751, 234.0278
1073.3122, 234.7222
1075.9494, 234.7222
1078.5865, 235.4167
1081.2236, 235.4167
1083.8608, 236.1111
1086.4979, 236.1111
1089.135, 236.1111
1091.7722, 236.8056
1094.4093, 237.5
1097.0464, 237.5
1099.6835, 238.1944
1102.3207, 238.1944
1104.9578, 238.8889
1107.5949, 238.8889
1110.2321, 238.8889
1112.8692, 239.5833
1115.5063, 239.5833
1118.1435, 240.2778
1120.7806, 240.2778
1123.4177, 240.9722
1126.0549, 240.9722
1128.692, 241.6667
1131.3291, 242.3611
1133.9662, 243.0556
1136.6034, 243.0556
1139.2405, 243.75
1141.8776, 243.75
1144.5148, 243.75
1147.1519, 243.75
1147.1519, 244.4444
1147.1519, 245.1389
1149.789, 245.8333
1152.4262, 245.8333
1155.0633, 246.5278
1155.0633, 247.2222
1157.7004, 247.9167
1160.3376, 247.9167
1162.9747, 248.6111
1165.6118, 248.6111
1168.2489, 248.6111
1170.886, 248.6111
1173.5232, 249.3056
1176.1602, 249.3056
1178.7974, 249.3056
1181.4346, 249.3056
1184.0717, 249.3056
1186.7088, 249.3056
1189.346, 250.0
1191.983, 250.0
1194.6202, 250.0
1197.2574, 250.6944
1199.8944, 251.3889
1202.5316, 251.3889
1205.1688, 252.0833
1207.8058, 252.0833
1210.443, 252.0833
1213.0802, 252.0833
1213.0802, 252.7778
1215.7173, 253.4722
1218.3544, 253.4722
1220.9916, 254.1667
1223.6287, 254.1667
1226.2658, 254.1667
1228.903, 254.8611
1231.5401, 254.8611
1234.1772, 254.8611
1236.8143, 255.5556
1239.4515, 256.25
1242.0886, 256.25
1244.7257, 256.9444
1247.3629, 256.9444
1250.0, 256.9444
1252.6371, 256.9444
1255.2743, 257.6389
1257.9114, 257.6389
1260.5485, 258.3333
1263.1857, 258.3333
1263.1857, 259.0278
1265.8228, 259.0278
1268.4599, 259.7222
1271.097, 259.7222
1273.7342, 260.4167
1276.3713, 260.4167
1279.0084, 260.4167
1281.6456, 260.4167
1284.2827, 261.1111
1286.9198, 261.1111
1286.9198, 261.8056
1289.557, 261.8056
1292.1941, 262.5
1294.8312, 262.5
1297.4684, 262.5
1300.1055, 263.1944
1302.7426, 263.1944
1305.3797, 263.1944
1308.0169, 263.8889
1310.654, 264.5833
1313.2911, 264.5833
1315.9283, 265.2778
1318.5654, 265.2778
1321.2025, 265.2778
1323.8397, 265.9722
1326.4768, 265.9722
1329.1139, 266.6667
1331.7511, 266.6667
1334.3881, 266.6667
1337.0253, 267.3611
1339.6623, 267.3611
1342.2995, 268.0556
1344.9367, 268.0556
1347.5737, 268.0556
1350.211, 268.75
1352.8481, 268.75
1355.4852, 269.4444
1358.1224, 269.4444
1360.7595, 269.4444
1363.3966, 269.4444
1366.0338, 270.1389
1368.6709, 270.8333
1371.308, 270.8333
1373.9451, 270.8333
1376.5823, 271.5278
1379.2194, 271.5278
1381.8565, 272.2222
1384.4937, 272.2222
1387.1308, 272.9167
1389.7679, 272.9167
1392.4051, 272.9167
1395.0422, 273.6111
1397.6793, 273.6111
1400.3165, 273.6111
1402.9536, 273.6111
1405.5907, 274.3056
1408.2278, 274.3056
1410.865, 274.3056
1413.5021, 275.0
1416.1392, 275.6944
1418.7764, 275.6944
1421.4135, 275.6944
1424.0506, 275.6944
1426.6878, 276.3889
1429.3249, 277.0833
1431.962, 277.7778
1434.5992, 278.4722
1437.2363, 278.4722
1439.8734, 278.4722
1442.5105, 279.1667
1445.1477, 279.8611
1447.7848, 280.5556
1450.4219, 279.8611
1453.0591, 279.8611
1453.0591, 279.1667
1455.6962, 279.1667
1458.3333, 278.4722
1460.9705, 279.1667
1463.6076, 279.1667
1463.6076, 279.8611
1466.2447, 279.8611
1468.8819, 280.5556
1471.519, 280.5556
1474.1561, 281.25
1476.7932, 281.25
1479.4304, 281.25
1482.0675, 281.9444
1484.7046, 281.9444
1487.3418, 281.9444
1489.9788, 282.6389
1492.616, 282.6389
1495.2532, 282.6389
1497.8902, 282.6389
1500.5274, 283.3333
1503.1646, 284.0278
1505.8016, 284.0278
1508.4388, 284.0278
1511.0759, 284.0278
1513.713, 284.0278
1516.3502, 284.7222
1518.9872, 285.4167
1521.6245, 285.4167
1524.2616, 285.4167
1526.8987, 286.1111
1529.5359, 286.1111
1532.173, 286.1111
1534.8101, 286.8056
1537.4473, 286.8056
1540.0844, 286.8056
1542.7215, 287.5
1545.3586, 287.5
1547.9958, 287.5
1550.6329, 288.1944
1553.27, 288.1944
1555.9072, 288.1944
1558.5443, 288.8889
1561.1814, 288.8889
1563.8186, 288.8889
1566.4557, 289.5833
1569.0928, 289.5833
1571.73, 289.5833
1574.3671, 290.2778
1577.0042, 290.2778
1579.6414, 290.2778
1582.2785, 290.2778
1584.9156, 290.9722
1587.5527, 290.9722
1590.1899, 290.9722
1592.827, 291.6667
1595.4641, 291.6667
1598.1013, 291.6667
1600.7384, 292.3611
1603.3755, 292.3611
1606.0127, 292.3611
1608.6498, 292.3611
1611.2869, 293.0556
1613.9241, 293.0556
1616.5612, 293.0556
1619.1983, 293.0556
1621.8354, 293.0556
1624.4726, 293.75
1627.1097, 293.75
1627.1097, 294.4444
1629.7468, 294.4444
1632.384, 294.4444
1635.0211, 294.4444
1637.6582, 295.1389
1640.2953, 295.1389
1642.9325, 295.1389
1645.5695, 295.1389
1648.2068, 295.8333
1650.8439, 295.8333
1653.4809, 295.8333
1656.1181, 295.8333
1658.7553, 295.8333
1661.3924, 296.5278
1664.0295, 296.5278
1664.0295, 297.2222
1666.6667, 297.2222
1669.3038, 297.2222
1671.9409, 297.2222
1674.5781, 297.9167
1677.2152, 297.9167
1679.8523, 297.9167
1682.4895, 297.9167
1685.1266, 298.6111
1687.7637, 298.6111
1690.4008, 298.6111
1693.038, 298.6111
1695.6751, 298.6111
1698.3122, 298.6111
1700.9494, 299.3056
1703.5865, 299.3056
1703.5865, 300.0
1706.2236, 300.0
1708.8608, 300.0
1711.4979, 300.0
1714.135, 300.6944
1716.7722, 300.6944
1719.4093, 300.6944
1722.0464, 300.6944
1724.6835, 300.6944
1727.3207, 301.3889
1729.9578, 301.3889
1732.5949, 301.3889
1735.2321, 301.3889
1737.8692, 302.0833
1740.5063, 302.0833
1743.1435, 302.0833
1745.7806, 302.0833
1748.4177, 302.7778
1751.0549, 302.7778
1753.692, 302.7778
1756.3291, 302.7778
1758.9662, 303.4722
1761.6034, 303.4722
1764.2405, 303.4722
1766.8776, 303.4722
1769.5148, 304.1667
1772.1519, 304.1667
1774.789, 304.1667
1777.4262, 304.1667
1780.0633, 304.8611
1782.7004, 304.8611
1785.3376, 304.8611
1787.9747, 304.8611
1790.6118, 305.5556
1793.2489, 305.5556
1795.886, 305.5556
1798.5232, 305.5556
1801.1602, 305.5556
1803.7974, 306.25
1806.4346, 306.25
1809.0717, 306.25
1811.7088, 306.25
1814.346, 306.25
1816.983, 306.9444
1819.6202, 306.9444
1822.2574, 306.9444
1824.8944, 306.9444
1827.5316, 306.9444
1830.1688, 307.6389
1832.8058, 307.6389
1835.443, 307.6389
1838.0802, 307.6389
1840.7173, 308.3333
1843.3544, 308.3333
1845.9916, 308.3333
1848.6287, 308.3333
1851.2658, 308.3333
1853.903, 309.0278
1856.5401, 309.0278
1859.1772, 309.0278
1861.8143, 309.0278
1864.4515, 309.0278
1867.0886, 309.0278
1869.7257, 309.7222
1872.3629, 309.7222
1875.0, 309.7222
1877.6371, 309.7222
1880.2743, 310.4167
1882.9114, 310.4167
1885.5485, 310.4167
1888.1857, 310.4167
1890.8228, 311.1111
1893.4599, 311.1111
1896.097, 311.1111
1898.7342, 311.1111
1901.3713, 311.1111
1904.0084, 311.1111
1906.6456, 311.1111
1909.2827, 311.8056
1911.9198, 311.8056
1914.557, 311.8056
1917.1941, 311.8056
1919.8312, 311.8056
1922.4684, 311.8056
1925.1055, 312.5
1927.7426, 312.5
1930.3797, 312.5
1933.0169, 312.5
1935.654, 312.5
1938.2911, 313.1944
1940.9283, 313.1944
1943.5654, 313.1944
1946.2025, 313.1944
1948.8397, 313.1944
1951.4768, 313.8889
1954.1139, 313.8889
1956.7511, 313.8889
1959.3881, 313.8889
1962.0253, 313.8889
1964.6623, 313.8889
1967.2995, 313.8889
1969.9367, 314.5833
1972.5737, 314.5833
1975.211, 314.5833
1977.8481, 314.5833
1980.4852, 314.5833
1983.1224, 314.5833
1985.7595, 315.2778
1988.3966, 315.2778
1991.0338, 315.2778
1993.6709, 315.2778
1996.308, 315.2778
1998.9451, 315.9722
2001.5823, 315.9722
2004.2194, 315.9722
2006.8565, 315.9722
2009.4937, 315.9722
2012.1308, 315.9722
2014.7679, 316.6667
2017.4051, 316.6667
2020.0422, 316.6667
2022.6793, 316.6667
2025.3165, 316.6667
2027.9536, 316.6667
2030.5907, 316.6667
2033.2278, 316.6667
2035.865, 316.6667
2038.5021, 316.6667
2041.1392, 317.3611
2043.7764, 317.3611
2046.4135, 317.3611
2049.0506, 317.3611
2051.6878, 317.3611
2054.3249, 317.3611
2056.962, 317.3611
2059.5992, 318.0556
2062.2363, 318.0556
2064.8734, 318.0556
2067.5105, 318.0556
2070.1477, 318.0556
2072.7848, 318.0556
2075.4219, 318.0556
2078.0591, 318.75
2080.6962, 318.75
2083.3333, 318.75
2085.9705, 318.75
2088.6076, 318.75
2091.2447, 318.75
2093.8819, 318.75
2096.519, 319.4444
2099.1561, 319.4444
2101.7932, 319.4444
2104.4304, 319.4444
2107.0675, 319.4444
2109.7046, 319.4444
2112.3418, 319.4444
2114.9788, 319.4444
2117.616, 319.4444
2120.2532, 319.4444
2122.8902, 320.1389
2125.5274, 320.1389
2128.1646, 320.1389
2130.8016, 320.1389
2133.4388, 320.1389
2136.0759, 320.1389
2138.713, 320.1389
2141.3502, 320.1389
2143.9872, 320.1389
2146.6245, 320.8333
2149.2616, 320.8333
2151.8987, 320.8333
2154.5359, 320.8333
2157.173, 320.8333
2159.8101, 320.8333
2162.4473, 320.8333
2165.0844, 321.5278
